Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CASE-D_7343,2,100u,C8025
"C2, C4, Cin1",1210,3,10u,C138687
Cboot1,0603,1,100n,C14663
Cin2,CAP-SMD_L7.3-W4.3-R-RD,1,10u,C117038
Cinx1,0805,1,220n,C5378
"Cout1, Cout2, Cout3",1206,3,47u,C412300
Coutx1,0805,1,100n,
Cvcc1,0603,1,1u,C5199872
"D1, D2, D3, D4",0603,4,LED,
"J00, J10",PHOENIX_1830498,2,1830498,
"J01, J11",DSUB-TH_XUNPU_D-SUB-DR-15PCM-CB,2,D-SUB-DR-15PCM-CB,C19077338
J2,DSUB-TH_DMR-9S,1,DMR-9S,C141882
J3,CONN-TH_2P-P5.08_XY2500R-D5.08-2P,1,XY2500R-D-5.08-2P,C505824
J4,CONN-TH_S2B-XH-A-1-LF-SN,1,S2B-XH-A-1 (LF)(SN),C163035
L1,IND-SMD_L4.0-W4.0,1,APSWPA4018S100MTF,C5363859
"R1, R2, R4",0603,3,680,
R3,0603,1,4k7,
R5,0603,1,0R,
Rfbb1,0603,1,24k9,C25962
"Rfbt1, Rpg1",0603,2,100k,C25803
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,LMR33630ADDAR,C841384
