Designator,Mid X,Mid Y,Rotation,Layer
C1,81.029036,-125.819786,90.0,top
C2,81.029036,-133.439786,0.0,top
C3,81.029036,-52.667786,90.0,top
C4,81.029036,-60.033786,0.0,top
Cboot1,59.693036,-140.060786,90.0,top
Cin1,73.409036,-135.471786,270.0,top
Cin2,70.361036,-50.635786,180.0,top
Cinx1,70.361036,-135.996786,270.0,top
Cout1,70.361036,-140.551786,90.0,top
Cout2,72.901036,-140.551786,90.0,top
Cout3,75.441036,-140.551786,90.0,top
Coutx1,77.981036,-139.977786,90.0,top
Cvcc1,59.693036,-136.504786,90.0,top
D1,79.505036,-44.793786,270.0,top
D2,82.553036,-145.911286,90.0,top
D3,72.901036,-38.951786,90.0,top
D4,74.933036,-38.951786,90.0,top
J1,57.5125,-113.14425,270.0,top
J2,57.5125,-70.14425,270.0,top
J3,95.0,-129.4,90.0,top
J4,95.0,-49.4,90.0,top
J5,96.169036,-89.551786,0.0,top
J6,65.789036,-35.829588,180.0,top
J7,80.809764,-35.56876,0.0,top
L1,64.773036,-144.615786,0.0,top
R1,82.553036,-44.793786,90.0,top
R2,82.553036,-141.809786,90.0,top
R3,72.901036,-33.871786,90.0,top
R4,74.933036,-33.871786,90.0,top
R5,83.823036,-96.164786,90.0,top
Rfbb1,67.072036,-133.964786,0.0,top
Rfbt1,63.757036,-133.189786,270.0,top
Rpg1,60.468036,-133.964786,180.0,top
U1,64.773036,-138.028786,180.0,top
